,trial,contrast_left,contrast_right,gocue_time,Path
0,34,100,25,0.593509818259065,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_034.csv
0,35,50,100,0.5929865735691067,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_035.csv
0,36,100,25,0.7133545313984655,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_036.csv
0,37,100,25,0.6932498449604907,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_037.csv
0,38,100,25,0.692312714780428,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_038.csv
0,39,50,25,0.7381592976912827,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_039.csv
0,40,0,0,0.7484494102790507,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_040.csv
0,41,50,0,0.7826338111499638,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_041.csv
0,42,0,0,0.6080094583821278,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_042.csv
0,43,0,0,0.6283488630687657,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_043.csv
0,44,0,100,0.7774992249381683,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_044.csv
0,45,50,25,0.4020712751662074,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_045.csv
0,46,0,0,0.628110205238869,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_046.csv
0,47,0,0,0.727371006759796,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_047.csv
0,48,0,0,0.6628637194920373,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_048.csv
0,49,0,0,0.6477987903243161,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_049.csv
0,50,0,50,0.7031068243601624,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_050.csv
0,51,0,0,0.4675956255809979,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_051.csv
0,52,0,50,0.7233473572939033,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_052.csv
0,53,50,25,0.5727346186465638,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_053.csv
0,54,0,0,0.7129424205072041,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_054.csv
0,55,0,0,0.4577248270304608,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_055.csv
0,56,50,100,0.6177900220572496,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_056.csv
0,57,0,0,0.5081617911444027,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_057.csv
0,58,0,0,0.6274304684330332,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_058.csv
0,59,25,100,0.4632234893138616,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_059.csv
0,60,25,100,0.5680229359957139,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_060.csv
0,61,100,0,0.5628308866586167,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_061.csv
0,62,50,0,0.7431849250647815,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_062.csv
0,63,100,50,0.6669152968099183,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_063.csv
0,64,0,100,0.7328944346033381,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_064.csv
0,65,0,25,0.732417445236365,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_065.csv
0,66,0,50,0.7480693861865007,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_066.csv
0,67,100,0,0.51285675792451,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_067.csv
0,68,0,0,0.6225793812011489,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_068.csv
0,69,50,0,0.4671819715219385,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_069.csv
0,70,100,0,0.5870056378957429,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_070.csv
0,71,50,25,0.3977724559817943,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_071.csv
0,72,100,100,0.6379491985945833,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_072.csv
0,73,0,0,0.5267952714086732,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_073.csv
0,74,100,25,0.6625169651258602,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_074.csv
0,75,100,25,0.5170883195756346,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_075.csv
0,76,100,0,0.6467187668529846,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_076.csv
0,77,100,0,0.4026722788873371,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_077.csv
0,78,0,50,0.702673170875471,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_078.csv
0,79,25,100,0.7778875068468665,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_079.csv
0,80,100,25,0.4378524588897221,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_080.csv
